order_date,order_id,sales,profit
21-02-2025,CA-2017-152156,261.96,26.43
21-02-2025,CA-2017-152156,731.94,127.23
01-11-2024,CA-2017-138688,14.62,3.2
01-05-2024,US-2016-108966,957.5775,234.18
01-05-2024,US-2016-108966,22.368,7.66
19-06-2025,CA-2018-114412,15.552,3.23
13-03-2025,CA-2017-161389,407.976,101.18
02-06-2024,US-2016-118983,68.81,16.46
02-06-2024,US-2016-118983,2.544,0.56
16-03-2025,CA-2017-137330,19.46,3.02
16-03-2025,CA-2017-137330,60.34,16.94
27-08-2025,US-2018-156909,71.372,10.01
19-04-2024,CA-2016-106320,1044.63,198.43
13-07-2024,CA-2017-121755,11.648,3.11
13-07-2024,CA-2017-121755,90.57,8.17
13-04-2024,US-2016-150630,3083.43,722.44
13-04-2024,US-2016-150630,9.618,3.03
13-04-2024,US-2016-150630,124.2,15.61
13-04-2024,US-2016-150630,3.264,0.7
13-04-2024,US-2016-150630,86.304,21.42
13-04-2024,US-2016-150630,6.858,1.76
13-04-2024,US-2016-150630,15.76,4.02
07-11-2025,CA-2018-107727,29.472,8.38
15-03-2025,CA-2017-117590,1097.544,60.44
15-03-2025,CA-2017-117590,190.92,37.15
28-06-2024,CA-2016-117415,113.328,30.59
28-06-2024,CA-2016-117415,532.3992,103.83
28-06-2024,CA-2016-117415,212.058,46.8
28-06-2024,CA-2016-117415,371.168,31.82
09-10-2025,CA-2018-120999,147.168,10.32
27-11-2024,CA-2017-101343,77.88,22.93
15-10-2025,CA-2018-139619,95.616,20.44
23-08-2024,CA-2017-118255,45.98,2.95
23-08-2024,CA-2017-118255,17.46,5.08
07-11-2024,CA-2017-169194,45,6.22
07-11-2024,CA-2017-169194,21.8,1.39
17-03-2025,CA-2017-105816,15.26,2.63
17-03-2025,CA-2017-105816,1029.95,146.58
04-11-2024,CA-2017-111682,208.56,64.03
04-11-2024,CA-2017-111682,32.4,5.74
04-11-2024,CA-2017-111682,319.41,53.09
04-11-2024,CA-2017-111682,14.56,3.95
04-11-2024,CA-2017-111682,30,2.44
04-11-2024,CA-2017-111682,48.48,11.28
04-11-2024,CA-2017-111682,1.68,0.51
03-06-2024,CA-2016-135545,13.98,1.27
03-06-2024,CA-2016-135545,25.824,7.62
03-06-2024,CA-2016-135545,146.73,48.84
03-06-2024,CA-2016-135545,79.76,19.24
26-10-2024,CA-2017-119823,75.88,11.63
13-01-2025,CA-2017-106075,4.616,0.93
12-10-2025,CA-2018-114440,19.05,4.94
15-12-2025,US-2018-118038,1.248,0.37
15-12-2025,US-2018-118038,9.708,2.05
15-12-2025,US-2018-118038,27.24,8.35
01-11-2024,CA-2017-127208,208.16,46.22
01-11-2024,CA-2017-127208,16.74,3.99
03-04-2024,CA-2016-149734,200.984,58.57
26-11-2025,US-2018-119662,230.376,62.97
22-07-2025,CA-2018-140088,301.96,62.49
12-11-2025,CA-2018-155558,19.99,1.37
12-11-2025,CA-2018-155558,6.16,-0.28
11-09-2024,CA-2017-159695,158.368,49.21
13-01-2025,CA-2017-109806,20.1,3.95
13-01-2025,CA-2017-109806,73.584,6.99
13-01-2025,CA-2017-109806,6.48,1.99
20-11-2025,US-2018-109484,5.682,1.44
23-11-2025,CA-2018-161018,96.53,13.56
06-08-2025,CA-2018-157833,51.312,15.43
04-01-2025,CA-2017-149223,77.88,18.16
29-12-2024,CA-2017-158568,64.624,20.66
29-12-2024,CA-2017-158568,95.976,5.05
29-12-2024,CA-2017-158568,1.788,0.44
10-03-2025,CA-2017-129903,23.92,5.18
26-05-2024,US-2016-156867,238.896,30.61
26-05-2024,US-2016-156867,102.36,20.91
26-05-2024,US-2016-156867,36.882,-1.82
03-12-2025,CA-2018-119004,74.112,-1.33
03-12-2025,CA-2018-119004,27.992,3.91
03-12-2025,CA-2018-119004,3.304,0.87
04-05-2024,CA-2016-129476,339.96,39.81
